	condition	marker	label
0	setosa	o	1
1	setosa	o	1
2	setosa	o	1
3	setosa	o	1
4	setosa	o	1
5	setosa	o	1
6	setosa	o	1
7	setosa	o	1
8	setosa	o	1
9	setosa	o	1
10	setosa	o	1
11	setosa	o	1
12	setosa	o	1
13	setosa	o	1
14	setosa	o	1
15	setosa	o	1
16	setosa	o	1
17	setosa	o	1
18	setosa	o	1
19	setosa	o	1
20	setosa	o	1
21	setosa	o	1
22	setosa	o	1
23	setosa	o	1
24	setosa	o	1
25	setosa	o	1
26	setosa	o	1
27	setosa	o	1
28	setosa	o	1
29	setosa	o	1
30	setosa	o	1
31	setosa	o	1
32	setosa	o	1
33	setosa	o	1
34	setosa	o	1
35	setosa	o	1
36	setosa	o	1
37	setosa	o	1
38	setosa	o	1
39	setosa	o	1
40	setosa	o	1
41	setosa	o	1
42	setosa	o	1
43	setosa	o	1
44	setosa	o	1
45	setosa	o	1
46	setosa	o	1
47	setosa	o	1
48	setosa	o	1
49	setosa	o	1
50	versicolor	v	0
51	versicolor	v	0
52	versicolor	v	2
53	versicolor	v	0
54	versicolor	v	0
55	versicolor	v	0
56	versicolor	v	0
57	versicolor	v	0
58	versicolor	v	0
59	versicolor	v	0
60	versicolor	v	0
61	versicolor	v	0
62	versicolor	v	0
63	versicolor	v	0
64	versicolor	v	0
65	versicolor	v	0
66	versicolor	v	0
67	versicolor	v	0
68	versicolor	v	0
69	versicolor	v	0
70	versicolor	v	0
71	versicolor	v	0
72	versicolor	v	0
73	versicolor	v	0
74	versicolor	v	0
75	versicolor	v	0
76	versicolor	v	0
77	versicolor	v	2
78	versicolor	v	0
79	versicolor	v	0
80	versicolor	v	0
81	versicolor	v	0
82	versicolor	v	0
83	versicolor	v	0
84	versicolor	v	0
85	versicolor	v	0
86	versicolor	v	0
87	versicolor	v	0
88	versicolor	v	0
89	versicolor	v	0
90	versicolor	v	0
91	versicolor	v	0
92	versicolor	v	0
93	versicolor	v	0
94	versicolor	v	0
95	versicolor	v	0
96	versicolor	v	0
97	versicolor	v	0
98	versicolor	v	0
99	versicolor	v	0
100	virginica	*	2
101	virginica	*	0
102	virginica	*	2
103	virginica	*	2
104	virginica	*	2
105	virginica	*	2
106	virginica	*	0
107	virginica	*	2
108	virginica	*	2
109	virginica	*	2
110	virginica	*	2
111	virginica	*	2
112	virginica	*	2
113	virginica	*	0
114	virginica	*	0
115	virginica	*	2
116	virginica	*	2
117	virginica	*	2
118	virginica	*	2
119	virginica	*	0
120	virginica	*	2
121	virginica	*	0
122	virginica	*	2
123	virginica	*	0
124	virginica	*	2
125	virginica	*	2
126	virginica	*	0
127	virginica	*	0
128	virginica	*	2
129	virginica	*	2
130	virginica	*	2
131	virginica	*	2
132	virginica	*	2
133	virginica	*	0
134	virginica	*	2
135	virginica	*	2
136	virginica	*	2
137	virginica	*	2
138	virginica	*	0
139	virginica	*	2
140	virginica	*	2
141	virginica	*	2
142	virginica	*	0
143	virginica	*	2
144	virginica	*	2
145	virginica	*	2
146	virginica	*	0
147	virginica	*	2
148	virginica	*	2
149	virginica	*	0
